----------------------------------
Started listening on port 4444
Old Timestamp (received),New Timestamp (current),Latency (difference)
start @ 1659910518.487013
1659910518.487013,1659910518.493416,0.6403
1659910518.493416,1659910518.499683,0.6267
1659910518.499683,1659910518.505836,0.6153
1659910518.505836,1659910518.510078,0.4242
1659910518.510078,1659910518.516040,0.5962
1659910518.516040,1659910518.520873,0.4833
1659910518.520873,1659910518.525062,0.4189
1659910518.525062,1659910518.531096,0.6034
1659910518.531096,1659910518.537198,0.6102
1659910518.537198,1659910518.541431,0.4233
1659910518.541431,1659910518.545205,0.3774
1659910518.545205,1659910518.549748,0.4543
1659910518.549748,1659910518.554833,0.5085
1659910518.554833,1659910518.559141,0.4308
1659910518.559141,1659910518.564339,0.5198
1659910518.564339,1659910518.570476,0.6137
1659910518.570476,1659910518.574763,0.4287
1659910518.574763,1659910518.578473,0.3710
1659910518.578473,1659910518.582914,0.4441
1659910518.578473,1659910519.640445,1.61972
1659910519.640445,1659910519.649567,0.9122
1659910519.649567,1659910519.655503,0.5936
1659910519.655503,1659910519.659953,0.4450
1659910519.659953,1659910519.664825,0.4872
1659910519.664825,1659910519.669704,0.4879
1659910519.669704,1659910519.674411,0.4707
1659910519.674411,1659910519.683027,0.8616
1659910519.683027,1659910519.692425,0.9398
1659910519.692425,1659910519.698589,0.6164
1659910519.698589,1659910519.707825,0.9236
1659910519.707825,1659910519.716109,0.8284
1659910519.716109,1659910519.722354,0.6245
1659910519.722354,1659910519.726590,0.4236
1659910519.726590,1659910519.730899,0.4309
1659910519.730899,1659910519.736016,0.5117
1659910519.736016,1659910519.740524,0.4508
1659910519.740524,1659910519.744453,0.3929
1659910519.744453,1659910519.748510,0.4057
1659910519.748510,1659910519.753994,0.5484
1659910519.748510,1659910524.797904,5.49394
1659910524.797904,1659910524.806289,0.8385
1659910524.806289,1659910524.812751,0.6462
1659910524.812751,1659910524.818592,0.5841
1659910524.818592,1659910524.825066,0.6474
1659910524.825066,1659910524.831645,0.6579
1659910524.831645,1659910524.837487,0.5842
1659910524.837487,1659910524.841475,0.3988
1659910524.841475,1659910524.845391,0.3916
1659910524.845391,1659910524.849397,0.4006
1659910524.849397,1659910524.853352,0.3955
1659910524.853352,1659910524.857358,0.4006
1659910524.857358,1659910524.863074,0.5716
1659910524.863074,1659910524.868165,0.5091
1659910524.868165,1659910524.872882,0.4717
1659910524.872882,1659910524.876752,0.3870
1659910524.876752,1659910524.880729,0.3977
1659910524.880729,1659910524.886247,0.5518
1659910524.886247,1659910524.890264,0.4017
1659910524.890264,1659910524.894293,0.4029
